col,row,name,mac,height(cm),priority
1767.6,1682.4,IllinoisNet,44:12:44:6b:ef:f0,295,6
1434.1,2099.3,IllinoisNet,44:12:44:6d:9e:d0,295,4
2221.2,2140.8,IllinoisNet,44:12:44:6b:02:90,295,100
1470.9,2968.5,IllinoisNet,44:12:44:6d:2d:30,295,0
2096.4,3012.6,IllinoisNet,44:12:44:69:f4:60,295,1
1594.6,3798.1,IllinoisNet,44:12:44:6c:1a:b0,295,2
2174.1,3836.9,IllinoisNet,44:12:44:6b:be:40,295,5
2775.7,4176.5,IllinoisNet,44:12:44:6a:74:d0,295,100
2560.0,1877.5,IllinoisNet,44:12:44:6a:5a:90,295,100
2304.5,1392.0,IllinoisNet,44:12:44:6b:3a:70,295,100
2588.9,3439.7,IllinoisNet,44:12:44:6a:83:10,295,7
2630.0,2594.0,IllinoisNet,44:12:44:6d:02:d0,295,8
3432.3,4437.8,IllinoisNet,44:12:44:6e:a1:90,295,100
2925.3,1433.1,IllinoisNet,44:12:44:6d:b3:70,315,100
1518.0,4390.0,IllinoisNet,44:12:44:6e:10:d0,295,3
1000.0,1000.0,IllinoisNet,44:12:44:6e:5c:00,295,9
